SSID,BSSID,Capabilities,frequency
NETGEAR65,04:a1:51:86:52:da,[WPA2-PSK-CCMP][WPS][ESS],2437
NETGEAR22-5G,04:a1:51:a2:e2:97,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi6e-2G,6c:b0:ce:44:91:6e,[WPA2-PSK-CCMP][WPS][ESS],2412
ATT3b4d235,8c:7f:3b:3b:29:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Fblthp,60:fe:20:03:40:8e,[WPA2-PSK-CCMP][ESS],2412
NETGEAR15,04:a1:51:9b:df:84,[WPA2-PSK-CCMP][WPS][ESS],2437
ATT623,60:fe:20:09:dc:22,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
Minions,ec:1a:59:a5:09:78,[WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi45-5G,6c:b0:ce:44:84:44,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi73-5G,6c:b0:ce:b7:ad:72,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR10,e4:f4:c6:e6:aa:55,[WPA2-PSK-CCMP][WPS][ESS],2437
HPE710n.8246E7,02:2a:2a:9f:e5:9d,[IBSS],2437
Danh's Wi-Fi Network,00:19:e3:fa:dc:6c,[WPA2-PSK-CCMP][ESS],2412
2WIRE729,00:23:51:17:f3:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2457
HP-Print-B0-Officejet 6600,6c:3b:e5:00:af:b0,[WPA2-PSK-CCMP][ESS],2442
ATT9s3A7g7,dc:45:17:bd:8c:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
Beast,ec:1a:59:06:d2:66,[WPA2-PSK-CCMP][WPS][ESS],2412
HERMOSILLENSE_GUEST,e6:f4:c6:0e:5b:10,[WPA2-PSK-CCMP][ESS],2442
HERMOSILLENSE,e4:f4:c6:0e:5b:1f,[WPA2-PSK-CCMP][WPS][ESS],2442
2WIRE300,74:9d:dc:02:c8:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2427
Cherry on Top,e4:71:85:10:52:54,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2442
HP-Print-11-Photosmart 5520,d8:9d:67:bd:02:11,[WPA2-PSK-CCMP][ESS],2427
NETGEAR46-5G,e4:f4:c6:0e:5b:1e,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT2D6U5n9,8c:7f:3b:5d:b0:90,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFi02-2G,6c:b0:ce:32:70:02,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.1d1,ec:1a:59:a7:d1:d1,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR00,9c:d3:6d:b1:ac:3a,[WPA2-PSK-CCMP][WPS][ESS],2437
wadsworth,00:22:3f:32:a6:58,[WPA-PSK-TKIP][ESS],2462
NETGEAR01,04:a1:51:ab:87:9d,[WPA2-PSK-CCMP][WPS][ESS],2412
DIRECT-roku-B498EC,dc:3a:5e:46:6d:5b,[WPA2-PSK-CCMP][WPS][ESS],2427
NETGEAR01-5G,04:a1:51:ab:87:9f,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi38-2G,04:a1:51:d8:06:38,[WPA2-PSK-CCMP][WPS][ESS],2412
teammoses,98:fc:11:f3:02:a3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2427
ATT9z8Z8y8,8c:7f:3b:49:07:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NETGEAR52,04:a1:51:96:c8:07,[WPA2-PSK-CCMP][ESS],2452
ATT776C8i7,40:b7:f3:48:94:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
MyCharterWiFia5-2G,c4:04:15:a1:13:a5,[WPA2-PSK-CCMP][ESS],2452
DIRECT-roku-2378AE,dc:3a:5e:15:0c:b3,[WPA2-PSK-CCMP][WPS][ESS][P2P],2452
ATTyxtJ9MS,94:62:69:09:10:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFi63-5G,6c:b0:ce:a3:d7:62,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi29-5G,6c:b0:ce:b6:36:28,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFic7-2G,04:a1:51:ba:e4:c7,[WPA2-PSK-CCMP][ESS],2422
